CASEID,RGN,RGN_TXT,SFA_NAME,SFA_STATE,SFA_ZIP,SFA_ID,NUM_SCHOOLS,NUM_STUDENTS,Q2C1,Q2C2,Q2C3,Q2C4,Q2C5,Q2C6,Q2C7,Q5C1,Q5C2,Q5C3,Q5C4,Q5C5,Q5C6,Q26,Q7_A1C4,Q7_B1C4,Q7_C1C4,Q7_D1C4,Q7_E1C4,Q7_F1C4,Q7_G1C4,Q7_H1C4,Q7_I1C4,Q7_J1C4,Q7_K1C4,Q7_L1C4,Q7_M1C4,Q7_N1C4,Q7_O1C4,Q7_P1C4,Q7_Q1C4,Q7_R1C4,Q7_S1C4,Q7_T1C4,Q7_U1C4,Q7_V1C4,Q7_W1C4,Q7_X1C4,Q7_Y1C4,Q7_Z1C4,Q7_ZZ1C4,Q7_AA1C4,Q7_AB1C4,Q7_AC1C4,Q7_AD1C4,Q7_AE1C4,Q7_AF1C4,Q7_AG1C4,Q7_AH1C4,Q8C1,Q8C9,Q9C3,Q9_CC1,Q9_CC2,Q9_CC3,Q9_CC4,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q10C8,Q10C9,Q10C10,Q10C11,Q10C12,Q10C13,Q10C14,Q11_AC1,Q11_AC2,Q11_AC3,Q11_AC4,Q11_AC5,Q11_AC6,Q11_AC7,Q11_AC8,Q11_AC9,Q11_AC10,Q11_AC11,Q11_AC12,Q11_BC1,Q11_BC2,Q11_BC3,Q11_BC4,Q11_BC5,Q11_BC6,Q11_BC7,Q11_BC8,Q11_BC9,Q11_CC1,Q11_CC2,Q11_CC3,Q11_CC4,Q11_CC5,Q11_CC6,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q13C7,Q13C8,Q13C9,Q13C10,Q13C11,Q13C12,Q13C13,Q13C14
MWRO2161143,2,Midwest Regional Office (MWRO),Rantoul Township Hsd 193,IL,61866,09-010-193,1,771,1,1,0,0,0,0,0,0,0,1,0,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWRO2161144,2,Midwest Regional Office (MWRO),Prairieview-Ogden Ccsd 197,IL,61871,09-010-197,3,255,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
MWRO2161145,2,Midwest Regional Office (MWRO),Gibson City-Melvin-Sibley Cusd 5,IL,60936,09-027-005,3,885,1,0,0,0,0,0,0,0,1,1,0,0,0,10,,0,,,,,,,1,0,1,0,0,,0,0,0,0,,1,0,0,0,1,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
MWRO2161147,2,Midwest Regional Office (MWRO),Clk/Cls/Cmbn/Dglas/Edgr/Mltr/Shlb,IL,61920,11-000-000,4,141,1,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWRO2161148,2,Midwest Regional Office (MWRO),Marshall Cusd 2c,IL,62441,11-012-002,4,1222,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWRO2161149,2,Midwest Regional Office (MWRO),Martinsville Cusd 3c,IL,62442,11-012-003,2,142,1,0,0,0,0,1,0,1,0,0,0,0,0,98,1,1,,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
MWRO2161150,2,Midwest Regional Office (MWRO),Casey-Westfield Cusd 4c,IL,62420,11-012-004,2,786,1,1,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWRO2161152,2,Midwest Regional Office (MWRO),Mattoon Cusd 2,IL,61938,11-015-002,5,2761,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,1,1,,,,,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,,0,0,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MWRO2161157,2,Midwest Regional Office (MWRO),Cumberland Cusd 77,IL,62468,11-018-077,3,942,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,,,1,,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
MWRO2161159,2,Midwest Regional Office (MWRO),Villa Grove Cusd 302,IL,61956,11-021-302,3,620,1,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
MWRO2161161,2,Midwest Regional Office (MWRO),Arcola Cusd 306,IL,61910,11-021-306,2,675,1,1,0,0,0,0,0,1,0,0,0,0,0,98,1,1,1,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MWRO2161162,2,Midwest Regional Office (MWRO),Shiloh Cusd 1,IL,61932,11-023-001,2,370,1,1,0,0,0,0,0,0,0,1,0,0,0,98,,,0,,,,,,0,,0,0,0,1,0,,,,,1,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
